Date,Price,Open,High,Low,Vol.,Change %
"Dec 30, 2016",56.82,57,57.2,56.46,129.10K,1.21
"Dec 29, 2016",56.14,56.01,56.63,55.91,49.08K,-0.14
"Dec 28, 2016",56.22,56.06,56.56,55.89,109.91K,0.23
"Dec 27, 2016",56.09,55.18,57.15,55.04,67.84K,1.69
"Dec 23, 2016",55.16,54.84,55.25,54.26,104.09K,0.2
"Dec 22, 2016",55.05,54.55,55.23,54.05,194.66K,1.08
"Dec 21, 2016",54.46,55.52,55.87,54.32,277.73K,-1.61
"Dec 20, 2016",55.35,55.02,55.92,54.75,257.02K,0.78
"Dec 19, 2016",54.92,55.4,55.8,54.69,228.39K,-0.53
"Dec 16, 2016",55.21,54.11,55.38,53.71,229.19K,2.2
"Dec 15, 2016",54.02,53.76,54.5,53.15,266.15K,0.22
"Dec 14, 2016",53.9,55.16,55.81,53.52,353.97K,-3.27
"Dec 13, 2016",55.72,55.7,56.44,55.13,283.43K,0.05
"Dec 12, 2016",55.69,55.88,57.89,55.11,372.17K,2.5
"Dec 09, 2016",54.33,53.97,54.46,53.77,264.80K,0.82
"Dec 08, 2016",53.89,53.15,54.05,52.81,334.18K,1.68
"Dec 07, 2016",53,53.94,54.23,52.92,298.57K,-1.72
"Dec 06, 2016",53.93,54.5,54.94,53.51,280.65K,-1.84
"Dec 05, 2016",54.94,54.4,55.33,53.77,288.55K,0.88
"Dec 02, 2016",54.46,53.88,54.5,52.84,312.78K,0.96
"Dec 01, 2016",53.94,51.72,54.53,51.51,460.86K,6.88
"Nov 30, 2016",50.47,46.54,50.49,46.51,43.12K,8.82
"Nov 29, 2016",46.38,48.07,48.1,45.92,133.11K,-3.86
"Nov 28, 2016",48.24,46.71,48.81,46.28,207.96K,2.12
"Nov 25, 2016",47.24,48.96,49.02,46.85,181.17K,-3.59
"Nov 24, 2016",49,49.03,49.21,48.76,71.19K,0.1
"Nov 23, 2016",48.95,49.2,49.5,48.56,275.29K,-0.35
"Nov 22, 2016",49.12,49.25,49.96,48.14,436.93K,0.45
"Nov 21, 2016",48.9,46.92,49.15,46.92,282.70K,4.35
"Nov 18, 2016",46.86,46.05,46.99,45.75,249.34K,0.8
"Nov 17, 2016",46.49,46.44,47.62,45.97,280.94K,-0.3
"Nov 16, 2016",46.63,46.88,47.56,46.25,335.48K,-0.68
"Nov 15, 2016",46.95,44.7,47.25,44.67,354.27K,5.67
"Nov 14, 2016",44.43,44.54,44.99,43.57,260.15K,-0.72
"Nov 11, 2016",44.75,45.8,45.89,44.19,286.71K,-2.38
"Nov 10, 2016",45.84,46.36,46.92,45.56,302.45K,-1.12
"Nov 09, 2016",46.36,46.04,46.95,44.4,448.12K,0.7
"Nov 08, 2016",46.04,46.3,46.69,45.6,320.98K,-0.24
"Nov 07, 2016",46.15,45.7,46.38,45.38,276.17K,1.25
"Nov 04, 2016",45.58,46.43,46.56,45.08,384.56K,-1.66
"Nov 03, 2016",46.35,47.15,47.52,45.99,283.66K,-1.09
"Nov 02, 2016",46.86,47.9,48.02,46.46,366.82K,-2.66
"Nov 01, 2016",48.14,48.72,49.26,47.72,462.80K,-0.33
"Oct 31, 2016",48.3,49.41,49.72,47.98,32.21K,-2.84
"Oct 28, 2016",49.71,50.41,50.58,49.31,94.84K,-1.51
"Oct 27, 2016",50.47,50.05,50.9,49.83,138.09K,0.98
"Oct 26, 2016",49.98,50.26,50.69,49.65,304.52K,-1.59
"Oct 25, 2016",50.79,51.44,51.83,50.22,237.73K,-1.3
"Oct 24, 2016",51.46,51.89,52.01,50.5,277.24K,-0.62
"Oct 21, 2016",51.78,51.4,51.94,51.12,249.16K,0.78
"Oct 20, 2016",51.38,52.6,52.72,51.17,279.31K,-2.45
"Oct 19, 2016",52.67,52.13,53.14,52.09,292.95K,1.92
"Oct 18, 2016",51.68,51.72,52.15,51.25,274.17K,0.31
"Oct 17, 2016",51.52,51.93,52.29,51.16,247.03K,-0.83
"Oct 14, 2016",51.95,52.06,52.55,51.5,248.44K,-0.15
"Oct 13, 2016",52.03,51.6,52.15,50.92,310.65K,0.42
"Oct 12, 2016",51.81,52.48,52.87,51.61,254.73K,-1.14
"Oct 11, 2016",52.41,53.11,53.32,52.12,373.85K,-1.37
"Oct 10, 2016",53.14,51.63,53.73,51.3,334.27K,2.33
"Oct 07, 2016",51.93,52.72,52.84,51.33,310.02K,-1.1
"Oct 06, 2016",52.51,51.76,52.75,51.32,293.87K,1.25
"Oct 05, 2016",51.86,51.22,52.09,51.22,302.09K,1.95
"Oct 04, 2016",50.87,50.93,51.55,50.34,269.27K,-0.04
"Oct 03, 2016",50.89,50.02,51.14,49.74,284.26K,3.73
"Sep 30, 2016",49.06,49.18,49.25,48.21,26.94K,-0.37
"Sep 29, 2016",49.24,48.87,49.81,47.99,114.83K,1.13
"Sep 28, 2016",48.69,46.14,48.96,45.7,188.67K,5.92
"Sep 27, 2016",45.97,47.06,47.28,45.63,241.18K,-2.91
"Sep 26, 2016",47.35,46.05,47.66,45.74,208.15K,3.18
"Sep 23, 2016",45.89,47.42,48.26,45.65,306.86K,-3.69
"Sep 22, 2016",47.65,46.99,47.83,46.99,290.33K,1.75
"Sep 21, 2016",46.83,46.45,47.14,46.38,249.08K,2.07
"Sep 20, 2016",45.88,45.91,46.3,45.09,298.80K,-0.15
"Sep 19, 2016",45.95,46.01,46.93,45.85,209.91K,0.39
"Sep 16, 2016",45.77,46.31,46.41,45.48,226.32K,-1.76
"Sep 15, 2016",46.59,46.06,47,45.67,320.72K,1.61
"Sep 14, 2016",45.85,47.33,47.48,45.7,332.96K,-2.65
"Sep 13, 2016",47.1,48.17,48.22,46.96,280.02K,-2.52
"Sep 12, 2016",48.32,47.81,48.63,46.9,258.76K,0.65
"Sep 09, 2016",48.01,49.63,49.7,47.76,262.15K,-3.96
"Sep 08, 2016",49.99,48.55,50.14,48.21,327.24K,4.19
"Sep 07, 2016",47.98,47.2,48.56,46.97,224.23K,1.52
"Sep 06, 2016",47.26,47.43,47.99,46.29,215.06K,-0.78
"Sep 05, 2016",47.63,46.7,49.4,46.4,287.95K,1.71
"Sep 02, 2016",46.83,45.79,47.02,45.41,279.34K,3.04
"Sep 01, 2016",45.45,46.98,47.24,45.32,290.04K,-3.38
"Aug 31, 2016",47.04,48.29,48.42,46.96,20.61K,-2.75
"Aug 30, 2016",48.37,49.25,49.76,48.23,124.52K,-1.81
"Aug 29, 2016",49.26,49.54,49.6,48.97,65.67K,-1.32
"Aug 26, 2016",49.92,49.66,50.76,49.12,209.62K,0.5
"Aug 25, 2016",49.67,49.03,49.78,48.7,217.13K,1.26
"Aug 24, 2016",49.05,49.57,49.87,48.68,280.92K,-1.82
"Aug 23, 2016",49.96,49.04,50.21,48.48,314.18K,1.63
"Aug 22, 2016",49.16,50.7,50.7,49.07,270.37K,-3.38
"Aug 19, 2016",50.88,50.96,51.22,50.32,252.34K,-0.02
"Aug 18, 2016",50.89,49.76,51.05,49.52,268.83K,2.09
"Aug 17, 2016",49.85,48.88,49.93,48.55,377.40K,1.26
"Aug 16, 2016",49.23,48.22,49.36,47.9,331.86K,1.82
"Aug 15, 2016",48.35,47.14,48.54,46.84,234.40K,2.94
"Aug 12, 2016",46.97,46.18,47.25,45.74,258.00K,2.02
"Aug 11, 2016",46.04,43.78,46.3,43.46,335.53K,4.52
"Aug 10, 2016",44.05,44.92,45.68,43.81,284.86K,-2.07
"Aug 09, 2016",44.98,45.25,45.77,44.76,216.22K,-0.9
"Aug 08, 2016",45.39,44.34,45.71,44.24,221.51K,2.53
"Aug 05, 2016",44.27,44.18,44.49,43.51,236.87K,-0.05
"Aug 04, 2016",44.29,43.36,44.34,42.51,276.42K,2.76
"Aug 03, 2016",43.1,41.94,43.47,41.56,320.44K,3.11
"Aug 02, 2016",41.8,42.23,43.18,41.51,262.56K,-0.81
"Aug 01, 2016",42.14,43.11,43.85,41.87,234.77K,-0.75
"Jul 29, 2016",42.46,42.61,42.83,41.8,21.54K,-0.56
"Jul 28, 2016",42.7,43.53,43.72,42.56,110.09K,-1.77
"Jul 27, 2016",43.47,44.55,44.91,43.27,194.57K,-3.12
"Jul 26, 2016",44.87,44.82,44.96,44.14,240.33K,0.34
"Jul 25, 2016",44.72,45.7,45.87,44.55,188.81K,-2.12
"Jul 22, 2016",45.69,46.21,46.5,45.17,243.49K,-1.1
"Jul 21, 2016",46.2,47.17,47.56,46.05,237.48K,-2.06
"Jul 20, 2016",47.17,46.76,47.49,45.9,296.30K,1.09
"Jul 19, 2016",46.66,46.93,47.49,46.53,214.36K,-0.64
"Jul 18, 2016",46.96,47.92,47.95,46.5,230.50K,-1.37
"Jul 15, 2016",47.61,47.03,48.25,46.65,260.43K,0.51
"Jul 14, 2016",47.37,46.59,47.47,46.34,289.40K,2.4
"Jul 13, 2016",46.26,48.13,48.2,46.09,299.80K,-4.56
"Jul 12, 2016",48.47,46.17,48.57,46.09,321.53K,4.8
"Jul 11, 2016",46.25,46.49,47.1,45.9,229.28K,-1.09
"Jul 08, 2016",46.76,46.6,47.23,46.15,237.28K,0.78
"Jul 07, 2016",46.4,49.12,49.59,46.15,328.10K,-4.92
"Jul 06, 2016",48.8,48.06,49.31,47.17,279.12K,1.75
"Jul 05, 2016",47.96,50.03,50.05,47.54,305.74K,-4.27
"Jul 04, 2016",50.1,50.6,50.75,50.03,113.45K,-0.5
"Jul 01, 2016",50.35,49.9,50.66,49.25,248.69K,1.35
"Jun 30, 2016",49.68,50.21,50.28,49.47,25.41K,-1.84
