Date,Price,Open,High,Low,Vol.,Change %
"Aug 29, 2017",17.541,17.47,17.617,17.397,0,0.57
"Aug 28, 2017",17.441,17.055,17.48,17.02,0,2.34
"Aug 27, 2017",17.042,17.069,17.216,17.04,0,-0.04
"Aug 25, 2017",17.049,16.955,17.18,16.715,117.11K,0.51
"Aug 24, 2017",16.963,17.085,17.1,16.815,109.37K,-0.49
"Aug 23, 2017",17.046,16.98,17.105,16.91,80.19K,0.38
"Aug 22, 2017",16.982,17.005,17.115,16.87,88.51K,-0.19
"Aug 21, 2017",17.015,16.935,17.12,16.83,90.12K,0.7
"Aug 20, 2017",16.896,16.939,16.944,16.829,0,-0.61
"Aug 18, 2017",17,17.035,17.32,16.85,113.50K,-0.31
"Aug 17, 2017",17.053,17.035,17.055,17.03,98.94K,0.67
"Aug 16, 2017",16.94,16.64,17.13,16.61,99.91K,1.35
"Aug 15, 2017",16.714,17.06,17.065,16.56,98.50K,-2.38
"Aug 14, 2017",17.122,17.13,17.215,16.925,73.47K,0.27
"Aug 13, 2017",17.076,17.104,17.11,17.064,0,0.04
"Aug 11, 2017",17.07,17.125,17.195,16.88,94.48K,0.03
"Aug 10, 2017",17.065,16.94,17.24,16.85,105.22K,1.2
"Aug 09, 2017",16.863,16.44,16.945,16.43,106.93K,2.89
"Aug 08, 2017",16.389,16.24,16.46,16.205,79.11K,0.85
"Aug 07, 2017",16.251,16.27,16.28,16.095,58.15K,0.16
"Aug 06, 2017",16.225,16.267,16.267,16.225,0,-0.17
"Aug 04, 2017",16.252,16.7,16.75,16.17,97.42K,-2.27
"Aug 03, 2017",16.63,16.57,16.68,16.42,57.97K,-0.62
"Aug 02, 2017",16.733,16.695,16.96,16.455,77.87K,-0.18
"Aug 01, 2017",16.764,16.835,16.845,16.59,61.89K,-0.13
"Jul 31, 2017",16.786,16.745,16.87,16.665,56.47K,0.08
"Jul 30, 2017",16.773,16.757,16.787,16.752,0,0.47
"Jul 28, 2017",16.695,16.575,16.75,16.505,49.95K,0.74
"Jul 27, 2017",16.573,16.64,16.81,16.54,69.33K,0.69
"Jul 26, 2017",16.459,16.465,16.68,16.28,67.14K,-0.5
"Jul 25, 2017",16.542,16.46,16.605,16.225,76.17K,0.6
"Jul 24, 2017",16.443,16.5,16.575,16.405,62.92K,-0.37
"Jul 23, 2017",16.504,16.5,16.506,16.448,0,0.29
"Jul 21, 2017",16.457,16.28,16.51,16.28,59.69K,0.69
"Jul 20, 2017",16.345,16.25,16.395,16.11,84.81K,0.29
"Jul 19, 2017",16.297,16.265,16.345,16.125,81.90K,0.18
"Jul 18, 2017",16.268,16.08,16.31,16.06,91.04K,1.05
"Jul 17, 2017",16.099,15.99,16.17,15.935,78.61K,0.48
"Jul 16, 2017",16.022,15.966,16.024,15.947,0,0.56
"Jul 14, 2017",15.933,15.66,16.07,15.575,92.37K,1.54
"Jul 13, 2017",15.691,15.875,15.955,15.66,76.09K,-1.23
"Jul 12, 2017",15.887,15.81,15.995,15.71,96.48K,0.9
"Jul 11, 2017",15.745,15.64,15.83,15.425,96.43K,0.74
"Jul 10, 2017",15.629,15.58,15.705,15.145,125.08K,0.26
"Jul 09, 2017",15.589,15.597,15.604,15.538,0,1.06
"Jul 07, 2017",15.425,16.025,16.14,15.32,156.69K,-3.49
"Jul 06, 2017",15.983,16.055,16.08,15.91,68.31K,0.55
"Jul 05, 2017",15.896,16.135,16.19,15.85,138.59K,-1.43
"Jul 04, 2017",16.126,16.152,16.169,16.013,0,0.21
"Jul 03, 2017",16.092,16.635,16.645,16.075,94.30K,-3.02
"Jul 02, 2017",16.593,16.601,16.613,16.583,0,-0.2
"Jun 30, 2017",16.627,16.635,16.705,16.505,71.27K,-0.16
"Jun 29, 2017",16.654,16.835,16.915,16.615,97.14K,-0.82
"Jun 28, 2017",16.791,16.685,16.89,16.68,48.63K,0.84
"Jun 27, 2017",16.651,16.56,16.78,16.55,51.95K,0.12
"Jun 26, 2017",16.631,16.755,16.785,16.28,27.89K,-0.29
"Jun 25, 2017",16.68,16.685,16.72,16.655,0,-0.16
"Jun 23, 2017",16.707,16.58,16.825,16.58,32.11K,1.2
"Jun 22, 2017",16.509,16.4,16.64,16.4,92.15K,0.82
"Jun 21, 2017",16.374,16.415,16.495,16.315,84.04K,-0.26
"Jun 20, 2017",16.417,16.465,16.605,16.36,80.76K,-0.52
"Jun 19, 2017",16.502,16.67,16.68,16.445,73.82K,-1
